facility_name,city,state,industry_sector,year,predicted_emissions
121 Regional Disposal Facility,Melissa,TX,Waste,2018,219935.8389799998
121 Regional Disposal Facility,Melissa,TX,Waste,2019,220535.08454000007
121 Regional Disposal Facility,Melissa,TX,Waste,2020,217230.81795400006
15-18565/15-18662,Hazard,KY,Other,2018,181433.29035299993
15-18565/15-18662,Hazard,KY,Other,2019,130452.97565999995
15-18565/15-18662,Hazard,KY,Other,2020,121441.78835699994
15-19015,Hazard,KY,Other,2018,59978.26685759997
15-19015,Hazard,KY,Other,2019,54011.205594800005
15-19015,Hazard,KY,Other,2020,58399.594531999996
17Z Gas Plant - Chevron Usa Inc.,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2018,24879.658299829982
17Z Gas Plant - Chevron Usa Inc.,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2019,16721.406560000003
17Z Gas Plant - Chevron Usa Inc.,Mckittrick,CA,"Natural Gas And Natural Gas Liquids Suppliers,Petroleum And Natural Gas Systems",2020,18573.027379999992
23Rd And 3Rd,Brooklyn,NY,Power Plants,2018,60070.4712
23Rd And 3Rd,Brooklyn,NY,Power Plants,2019,67640.41935999999
23Rd And 3Rd,Brooklyn,NY,Power Plants,2020,69520.74884000003
29-6 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2018,15038.726299999991
29-6 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2019,15400.654419999992
29-6 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2020,15677.892939999985
30-5 Compressor Station,Aztec,NM,Petroleum And Natural Gas Systems,2018,22770.06958000001
30-5 Compressor Station,Aztec,NM,Petroleum And Natural Gas Systems,2019,22785.578380000024
30-5 Compressor Station,Aztec,NM,Petroleum And Natural Gas Systems,2020,22986.15172000002
31-6 Central Delivery Point,Bloomfield,NM,Petroleum And Natural Gas Systems,2018,54414.08227
31-6 Central Delivery Point,Bloomfield,NM,Petroleum And Natural Gas Systems,2019,53342.32031000001
31-6 Central Delivery Point,Bloomfield,NM,Petroleum And Natural Gas Systems,2020,54050.074222399984
31St Street Landfill,Westchester,IL,Waste,2018,57451.190380000015
31St Street Landfill,Westchester,IL,Waste,2019,52383.00021999998
31St Street Landfill,Westchester,IL,Waste,2020,60774.23746000001
32-7 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2018,38804.99904560002
32-7 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2019,39261.2386537
32-7 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2020,38575.890919999976
32-8 #2 Cdp Compressor Station,Blanco,NM,Petroleum And Natural Gas Systems,2018,41626.71142000001
32-8 #2 Cdp Compressor Station,Blanco,NM,Petroleum And Natural Gas Systems,2019,40453.05568999998
32-8 #2 Cdp Compressor Station,Blanco,NM,Petroleum And Natural Gas Systems,2020,55813.73452
32-8 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2018,37163.61117919998
32-8 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2019,35566.138159999995
32-8 #2 Central Delivery Point,Blanco,NM,Petroleum And Natural Gas Systems,2020,37451.655269999974
3M Brownwood,Brownwood,TX,Minerals,2018,36709.2592
3M Brownwood,Brownwood,TX,Minerals,2019,66322.70392000003
3M Brownwood,Brownwood,TX,Minerals,2020,47224.48153999999
3M Co,Maplewood,MN,Other,2018,77021.85026000002
3M Co,Maplewood,MN,Other,2019,78976.68714
3M Co,Maplewood,MN,Other,2020,83554.0585018
3M Co - Guin,Guin,AL,Minerals,2018,23232.013125900008
3M Co - Guin,Guin,AL,Minerals,2019,26551.832300000005
3M Co - Guin,Guin,AL,Minerals,2020,26279.13993999999
3M Co - Wausau Downtown,Wausau,WI,Other,2018,41380.276008299996
3M Co - Wausau Downtown,Wausau,WI,Other,2019,40303.61207999998
3M Co - Wausau Downtown,Wausau,WI,Other,2020,39367.0285
3M Company,Decatur,AL,"Chemicals,Industrial Gas Suppliers",2018,48564.14284969999
3M Company,Decatur,AL,"Chemicals,Industrial Gas Suppliers",2019,49317.83307979997
3M Company,Decatur,AL,"Chemicals,Industrial Gas Suppliers",2020,49889.7072336
3M Cordova,Cordova,IL,"Chemicals,Industrial Gas Suppliers",2018,678906.7253320005
3M Cordova,Cordova,IL,"Chemicals,Industrial Gas Suppliers",2019,623475.8791770004
3M Cordova,Cordova,IL,"Chemicals,Industrial Gas Suppliers",2020,580792.680917
3M Cottage Grove Center - Site,Cottage Grove,MN,"Chemicals,Industrial Gas Suppliers,Minerals",2018,31852.97883
